jau5 have
nei5ge3 your
jiu3 want
gui6 tired
ni1dou6 here
heoi3 go
zung1 middle
gei2 very
bong1 help
jan4 person
tou5 stomach
ngo5 i
ngo6 hungry
maan6 slow
gou1 high
waa2 language
dim2aa3 howareyou
sik6 eat
lai4 come
m4gan2jiu3 itsfine
gei2hou2 prettygood
gaa1naa4daai6 canada
nei5 you
giu3 call
neoi5 girl
hou2 good
m4 no
leng3 pretty
jam2 drink
nei5dei6 youguys
zai2 boy
jing6sik1 know
jat1cai4 together
gwok3 country
ngoi3 love
zeoi3gan6 lately
mei5gwok3 america
liu5 le
ci3so2 toilet
dou1 also
je5 thing
ngo5dei6 we
wui4 return
m4goi1 please
soeng5 on
keoi5dei6 they
hai2 at
hai6 tobe
hau2hot3 thirsty
